q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r
-1.0522249182632463e-05,1.3381612597177778e-05,1.5699457963953234,-1.0481480929262307e-06,-1.9100439777072613,1.0690388390248952e-05,1.1356371088866233,0.20031614402128312,-0.7415057213289133
-1.1994646254316741e-05,1.2393680603740763e-05,1.5699605173861744,-1.5234407671118166e-09,-1.7190185175948678,1.331767597794823e-05,1.2370288043293869,0.09633287011197081,-0.603475570526365
-1.1968969725631832e-05,1.0613905139430175e-05,1.5699686913826114,1.7596072939999666e-06,-1.5280133914121752,9.983110553053127e-06,1.3193107934626884,0.005387926296476314,-0.4373603696904602
-1.1514782894873254e-05,1.1706599740251483e-05,1.5699678259527245,2.297343041498632e-06,-1.3370243370909354,2.005655589729994e-05,1.3760289352238413,-0.05775855950587556,-0.25579097873516154
-1.1533861711117227e-05,1.1675010994315309e-05,1.5699581864476424,-1.244486856537752e-07,-1.146015947969401,1.1481510435554225e-05,1.4087334743942739,-0.09162958193825348,-0.06235552515713966
-4.01652456031786e-06,1.2006283806531707e-05,1.5699682900179806,7.989406613230532e-06,-0.9550581619206691,1.4074922299625305e-06,1.4156553661508595,-0.09780843181684987,0.14081147376583017
-1.1374120186974773e-05,1.1858193238586635e-05,1.569969555623975,4.690557422065787e-08,-0.7640428803339664,1.1144603429731773e-05,1.3946235919182075,-0.07865611673455247,0.33868856356229554
-1.1590994931744387e-05,1.0801822562485116e-05,1.569966170719094,2.2022578567459697e-08,-0.5730060581239088,2.0871835346981793e-05,1.3471372083070432,-0.03199131720803498,0.5302935179155023
-1.3162416199205659e-05,3.025948947498192e-06,1.5699588852971644,-4.592354394247744e-07,-0.38203355632734903,1.4591112137703211e-05,1.2755944166053244,0.03927139885434877,0.7053010823451863
-1.0577080145761434e-05,1.1984271637375383e-05,1.5699529526701215,1.3190660787069494e-09,-0.19101602834252493,3.843957866457766e-06,1.1846792190221898,0.13194942006835497,0.8548513229994403
-1.4213104384211377e-05,3.9660482226991465e-06,1.5699659752217938,8.756066283194434e-06,-4.093444003289208e-06,1.16919273357561e-05,1.0748332757161356,0.24662167624644066,0.9777015806093029
-4.4069824072645315e-06,1.0779115398706234e-05,1.569965171758901,-5.96553392794831e-07,0.19095072819632683,1.7810274028032403e-05,0.9496875173405064,0.373329687174745,1.0700583593210609
-1.3207334678243527e-05,1.167177981029796e-05,1.5699652819207124,1.4543861407994407e-07,0.3819797429548172,3.8085600267842694e-06,0.8125707576588029,0.5091505932501231,1.1271908364504264
-1.1967384544562287e-05,1.3636223676475738e-05,1.5699506039302025,-6.585463801359549e-07,0.5729491514447345,1.9649934629388342e-05,0.6742113255594642,0.6487503330501945,1.1458628236019317
-1.2028910904925625e-05,1.0052972016361043e-05,1.5699494510238925,-7.508368177532676e-06,0.7639893533624958,1.304552023661302e-05,0.5358862961175472,0.7920855356557969,1.127105825539917
-1.2135677703375224e-05,1.243458344218772e-05,1.5699606561612187,-9.888807837556175e-06,0.954994612861594,1.300163072494835e-05,0.4047008952324863,0.9284422173202905,1.0713135832078604
-1.2003320054446042e-05,1.3586628464394825e-05,1.5699789026127005,7.764552459910654e-06,1.1459668717564726,2.2018549764584286e-07,0.28089219475561966,1.052884119938458,0.9864001413666968
-1.1938672084380106e-05,1.0516235438504693e-05,1.569967367104777,1.7083956336915592e-06,1.3370049796714358,1.514037884165747e-05,0.17809517564830404,1.1749854617970146,0.862721917918609
-1.1984202846496965e-05,1.1811514028932587e-05,1.5699516883223286,8.227464919813352e-07,1.5279738941083798,1.0680220047169647e-05,0.08677881477876911,1.271307502399244,0.7143638413086538
-1.3451778506718506e-05,1.2253943185118416e-05,1.569957679420931,3.207706065603729e-07,1.7189685848948275,1.3861261807543374e-05,0.019463510900988,1.3471008263954187,0.5379416331472093
-1.2507223014359227e-05,2.0079182176701413e-06,1.5699467090044985,-1.2077894445996296e-07,-1.0559187674656243e-05,-3.139978749758314,-1.0902662591031416,-0.21598331563500098,0.9786573711368864
-2.1127339949098527e-06,1.20316688832349e-05,1.5699758601614968,1.01997756845463e-06,-4.351695471848196e-06,-2.825965149949394,-1.104723592620177,0.1337923858631615,0.9856483329223926
-1.1983725184518178e-05,1.1766565460100077e-05,1.5699663292736827,6.57261566363538e-07,-1.4623972915091681e-05,-2.5119621043387483,-1.0063275796142628,0.4629292450045387,0.9875216640163054
-1.3462873521510124e-05,1.3615236053315764e-05,1.5699609038569373,3.018669649196002e-07,-1.878473955005248e-05,-2.19795639587242,-0.8171111692311901,0.7428304267132924,0.9864658283187987
-1.056490107278894e-05,1.9429620604960332e-05,1.5699686947486104,4.591174767850401e-07,-9.715479754071867e-06,-1.8839667140525913,-0.5562690879255217,0.9513403579353624,0.9852705138743321
-1.1995586485460707e-05,1.9276427580923426e-05,1.5699514230470235,-8.571115422067267e-08,-2.0141817386092627e-05,-1.5699734137558827,-0.24168642517958652,1.0819745565078782,0.9869559806924495
-1.1527988007794693e-05,4.243299435757085e-06,1.5699677247589912,-1.4614212847699382e-07,-1.3695725165873381e-05,-1.2559818455351823,0.10639703864732775,1.1061733462248242,0.9967722235993145
-1.2080714937287683e-05,1.1000228216811954e-05,1.5699582978162192,2.2239802645000944e-08,-4.98608576474145e-06,-0.9420066541175217,0.44610569937169064,1.0171038902240137,1.0008869232918973
-1.1984968181265893e-05,1.3381239215326576e-05,1.5699502478589848,6.765603884466442e-07,-7.7106201103026e-06,-0.6279852436303308,0.7357168018282059,0.8252804448323792,0.9971991488447884
-1.2980391274908115e-05,1.2278814232296082e-05,1.5699658041979598,-5.370099335619238e-08,-9.961822890593443e-06,-0.3139917165801991,0.9517089960206101,0.5556702885236022,0.9968263974697437
-1.167027633616331e-05,1.6290942212589286e-05,1.569966599414526,6.865227437091856e-06,-1.4592139705862733e-05,1.664978185589945e-07,1.0730290582120825,0.23799150894138538,0.9922108590566152
-1.2000095909925103e-05,1.200255728051589e-05,1.569960170557282,7.5523307827065455e-06,-1.3077587953738695e-05,0.31404496416235594,1.0905390324242032,-0.1046967439888229,0.9897878984263981
-1.1987194243670467e-05,1.197995357878095e-05,1.5699687237682685,-9.005164026654526e-06,-1.0015518861448313e-05,0.6280326428478739,1.0080027150671893,-0.4393497241678481,0.9871028299031768
-1.3435406454163494e-05,1.0076790048393495e-05,1.5699541784228466,-5.787798534888443e-08,-2.05750657503751e-05,0.9420438650407355,0.8193889236763142,-0.7356448510658025,0.9904380789776035
-1.2862366496772817e-05,1.197405375718672e-05,1.5699496555335404,4.74549401930233e-07,-1.1856469004404886e-05,1.2560309631364839,0.5516531981248722,-0.9579429122204783,0.9823237095557882
-1.1660197468395836e-05,1.128303170227504e-05,1.569957696970784,-2.1268248556576522e-06,-1.9223495049609252e-05,1.5700046743784433,0.23215990570115033,-1.0895383082412964,0.9716394864293655
-1.2585001119930802e-05,1.9512019270027972e-05,1.5699692211535026,-9.339511377852527e-06,-1.0763491896576065e-05,1.8840041833135377,-0.12038668942604719,-1.0998427471601955,0.9787049900345758
-1.0566630881515955e-05,1.1967916490315533e-05,1.5699552737136577,-1.1101173588532538e-06,-4.533405610638641e-06,2.198015866951156,-0.4522275690307643,-1.0131352165077814,0.9723471570370349
-1.2346159019803103e-05,1.3405989987077882e-05,1.5699581189684926,-5.062732494891338e-07,-1.9496110018877514e-05,2.5119899098038534,-0.7480018551437603,-0.8188892542617685,0.969826286667048
-1.0707701428605392e-05,1.1977009841248641e-05,1.5699600811432404,6.660819540329083e-06,-4.319851460734629e-06,2.825978705247988,-0.969206848978718,-0.5518078787744054,0.9637879593522798
